internship_title,skills_required
HR/Talent Acquisition,
Office Mangement,
Quality Assurance (Software Usability And Data),git
SEO And Social Media Marketing,digital marketing;excel;seo;social media marketing
Podcast Communications Management,
Engineering Design,figma;graphic design;ui/ux design
Delegate Registration And Coordination,
Office Assistant,
Food Technology & Operations,
Compliance / CS,
Motion Graphics Design And Video Editing,figma;graphic design;ui/ux design
Ecommerce Listing Support,
Program Management (Torch Bearer),
Online Teaching,
Social Wellbeing Research,
B2C Sales,
React - Python Development,git;javascript;pandas;python;react
Onboarding,
Accounts & Finance,accounting;excel;financial analysis
SEO (Off Page),seo
Talent Acquisition - Sourcing,
Embedded Software/Hardware DevelopeMENT,c++;git
Chartered Financial Analytics (Level-1),accounting;financial analysis
AI Research & Engineering,deep learning;machine learning;nlp;python;tensorflow
Industrial Automation And Electrical And Electronics Tech Support Engineering,python
Content & Copy Writing,
Reel Script Writing,
Frontend & WordPress Development,css;git;html;javascript;react
Admissions Counselling,
Teaching- Mathematics (Class 9),
Simulation Development And Testing,git
Creative Design - Video Editing & Graphic Design,figma;graphic design;ui/ux design
14 Days Virtual Charity Drive,
English (Teaching),
E-Commerce Management,
Operations And Customer Support,
Marketing (Social Media And LinkedIn),digital marketing;excel;social media marketing
Data Collection - HR Project,
Social Media Marketing - Interior Design,digital marketing;excel;figma;graphic design;social media marketing;ui/ux design
Management Trainee - Client Strategy,deep learning;machine learning;nlp;python;tensorflow
Founder' Office,
Placement Executive,
Jounalism,
Project Management Trainee,deep learning;machine learning;nlp;python;tensorflow
Maths Teacher For British Curriculum AQA/Edexcel/Cambridge And IB,
Community Management (Dumsharas Game),
Online Game Hosting,
AI Prompting,deep learning;machine learning;nlp;python;tensorflow
Full Stack Development - MERN (React + Node),css;git;html;javascript;node.js;react
Algorithmic Trading Infrastructure Development,git
Business Development (IT Sales),git
Business & Market Research,
3D Texturing Artist,
Subject Matter Expert (SME) - Chemistry,
Software Sales,git
Flutter Flow Development,git
Event Management- Expo Attending,
PCB Design,figma;graphic design;ui/ux design
Python Web Scraping,css;git;html;pandas;python
Zoho Development,git
Digital Marketing ( LinkedIn Marketing),digital marketing;excel;social media marketing
Culinary Expert,
Customer Support- (English & Bengali),
Graphic Design & Social Media Management,digital marketing;figma;graphic design;social media marketing;ui/ux design
Video Post-Production,
Subject Matter Expert (SME) - Verbal Ability,
Social Media Marketing And Handling,digital marketing;excel;social media marketing
Early Childhood Development,git
Educational Counseling,
Baby Photography,
Call Center (English),
Health Insurance,
Front End Engineering (Mobile & Web App Development),css;git;html
App Development,git
Talent Executive,
Graphic Design (Photoshop),figma;graphic design;ui/ux design
Digital Marketing And Lead Generation,digital marketing;excel;social media marketing
Modeling Management,
Email Marketing Expert,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Academic Writing (Technical),
Hindi Dubbing Voice Artist,
Live Doubt Solving,
Academic Research Writing,
Finance (Accounting & Taxation) And Human Resources (HR),accounting;excel;financial analysis
YouTube/Instagram Video Creation/Edition,
Photography & Social Media Content Creation,digital marketing;social media marketing
Textile/Fashion Design/Material Science & Fabrication,figma;graphic design;ui/ux design
Social Media Management And Creatives Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
After Effects Editing,
ERP Development & Digital Marketing,digital marketing;excel;git;social media marketing
Technical Writing,
Video Editing & Motion Graphics,
Next JS Development,git
Research & Development,git
Online Tamil CBSE English Tutoring,
Social Media Creative Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
Online Telugu CBSE Chemistry Tutoring,
Online Malayalam CBSE Science Tutoring,
Online Tamil Hindi Tutoring,
Online Malayalam CBSE Hindi Tutoring,
Online Malayalam CBSE Mathematics Tutoring,
Online Tamil Known Math Tutoring,
Online Malayalam CBSE Physics Tutoring,
Online Tamil CBSE Physics Tutoring,
Online Tamil CBSE Biology Tutoring,
Online Malayalam CBSE Biology Tutoring,
Online Malayalam CBSE English Tutoring,
Online Telugu CBSE English Tutoring,
Online Telugu CBSE Biology Tutoring,
Online Tamil CBSE Chemistry Tutoring,
Online Malayalam CBSE Chemistry Tutoring,
Podcast Growth Catalysis,
Product Media Management,
Reels Making,
Product Listing,
Online Telugu CBSE Physics Tutoring,
Market Reserach,
Montessori Training,deep learning;machine learning;nlp;python;tensorflow
Online Telugu CBSE Science Tutoring,
Dietetics/Nutrition,
LinkedIn Content Writing,
Digital Marketing Trainee,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Online Telugu CBSE Math Tutoring,
Travel Blog Writing,
UI/UX And Webflow Development,css;figma;git;html;ui/ux design
Content Writing (Gaming: PC/Console),
HR Executive,
Social Media Management and Content Creation,digital marketing;social media marketing
Event Coordination & Anchoring,
"Digital Marketing (Facebook Ads, SEO & SMM)",digital marketing;excel;seo;social media marketing
Career Charge Student Partner,
Unity Development,git
Operations - Video KYC Verification,
Apparel Designing,figma;graphic design;ui/ux design
Web & Graphic Design,css;figma;git;graphic design;html;ui/ux design
Sourcing Management,
Impact Leaders Adminstration & Operations,
Software Testing Engineering,git
Crypto Mining Rig Development,git
Video Making/Editing & Content Creation,
Website Content,css;git;html
Digital Marketing Content Creation,digital marketing;excel;social media marketing
Content Writing (Indian Movie Reviews),
Article Writing (Top 20 Type Of IT Articles),
Research: Find Celebrities Of Your Choice,
Content Writing (Biographies),
Content Writing (Article Writing),
Creative Writing (TV Serial Stories),graphic design
Content Writing (IT),
Article Writing (Thai & Chinese Celebrities),deep learning;machine learning;nlp;python;tensorflow
Content Writing (Cricket),
Finance And Advertising,accounting;excel;financial analysis
Sales And Business Relations,
Manual Data Review & Audit,
AutoCAD Content Creation,
Culinary Arts,
Physiotherapy - Subject Matter Expert,
Survey Executive,
Graphic Design Cum Video Editing,figma;graphic design;ui/ux design
Social Media Marketing & Video Editing,digital marketing;excel;social media marketing
"Copywriting, Content Writing, Social Media Post Content",digital marketing;social media marketing
Content Writing (English),
3D Modelling For Games,
Desktop Support Engineering,
Graphics Design,figma;graphic design;ui/ux design
Growth & Content Marketing,digital marketing;excel;social media marketing
Business Research,
Proofreading Physics,
Shreem IOS App Marketing,digital marketing;excel;social media marketing
Subject Matter Expert (Geography),
Research And Development (Voter Analysis),git
Strategic Digital Marketing,digital marketing;excel;social media marketing
Embedded  Electrical Engineering,c++
Mobile App Development (Flutter),git
Entrepreneur In Residence,
Legal Content Research,
Finance (Core Super-Specialized),accounting;excel;financial analysis
Corporate Marketing (B2B),digital marketing;excel;social media marketing
3D Visualisation,
"Studio Management, Reception Management",
YouTube Anchoring,
Brand Graphic Designing & Video Editing,figma;graphic design;ui/ux design
Fashion Design & Graphics,figma;graphic design;ui/ux design
Product Development (Mechanical),git
Mechatronics  Engineering,
Social Media Marketing (Facebook Ads),digital marketing;excel;social media marketing
Teaching (Robotics & STEM),
HR & Marketing,digital marketing;excel;social media marketing
Social Media Marketing & Online Marketing,digital marketing;excel;social media marketing
Finance & Audit,accounting;excel;financial analysis
"Subject Matter Expert (Economics, Statistics And Probability, Operations Management)",
Podcast Hosting,
Content Writing(Tennis),
Anchoring(Voiceover) & Video Editing,
Event Coordination & Community Management,
Arduino/IoT Training,deep learning;machine learning;nlp;python;tensorflow
Mechanical & Robotics Analysis,
Physiotherapy,
Field Sales (Bangalore Only),
Virtual Assistance (Lead Generation & Prospecting),
Catalog,
Subject Matter Expert (Botany),
Subject Matter Expert (Advance Mathematics),
Lead Generation (Marketing),digital marketing;excel;social media marketing
Sales And Digital Marketing,digital marketing;excel;social media marketing
Content Writing/Blogging,
Content Writing (Telugu),
Logo Design,figma;graphic design;ui/ux design
Marketing And HR Analysis,digital marketing;excel;social media marketing
Business Development (Field Work),git
AI Development & Research,deep learning;git;machine learning;nlp;python;tensorflow
Human Resources (HR) & Operations,
Teaching (French),
Project Training,deep learning;machine learning;nlp;python;tensorflow
Business & Strategy,
Media Buying,
Autocad design,figma;graphic design;ui/ux design
Marketing And Business Development,digital marketing;excel;git;social media marketing
Digital Marketing And Ecommerce,digital marketing;excel;social media marketing
Mass Communication,
Administration Assistant,
Video And Graphic Editing,
Content Review,
Archaeology Event Management,
Sales And Strategy,
Internshala Dashboard Management,
Influencer Outreach,
Mobile/Web App Software Engineering,css;git;html
Backend Development (Java),docker;git;java;node.js
Graphics & Video Design,figma;graphic design;ui/ux design
Counseling,
Content Writing (Food & Education),
.Net - Full Stack Development,css;git;html;javascript;node.js;react
Content And Social Media Marketing,digital marketing;excel;social media marketing
Robotics & IoT,
Admin & Marketing,digital marketing;excel;social media marketing
Freight Broker,
Content Development (Mathematics & Science),git
Design Merchandising,figma;graphic design;ui/ux design
"Content Writing (Finance, Marketing, Law, HR Research)",accounting;digital marketing;excel;financial analysis;social media marketing
Operations And Category,
Power Electronics Engineering,
Dev Ops Internship,
System Administration - Windows,
Business Management & Administration,
ASP.NET Development,git
Advanced Excel Operations for Transaction Categorization,
Human Resources (HR) - Candidate Branding & Onboarding,
Virtual Reality Unity 3D Development,git
Social Media & Influencer Marketing,digital marketing;excel;social media marketing
Video Making/Editing And Graphic Design,figma;graphic design;ui/ux design
Field Reporting & Copy Writing,
Networking Information Technology,
Market Research Analyst,
Travel & Tourism,
Presentation Design,figma;graphic design;ui/ux design
Loan File Verification,
Medical Device Design Engineering (3D Modeling - SolidWorks),figma;graphic design;ui/ux design
Telecalling/BDE,
YouTube Video Making,
NGO Assistance,
Kotlin Development,git
Video Creation (Female),
Operations And Customer Onboarding,
Field Sales Executive,
Law,
Social Media Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
Mobile Development,git
Architecture & Interiors,
Content Writing (Startup Finance),accounting;excel;financial analysis
F&B Sales,
Business Analyst,excel;sql
Knowledge Management,
Social Media Graphic Design,digital marketing;figma;graphic design;social media marketing;ui/ux design
B2B Marketplace,
Content Writing (Technical & Non-Technical),
Full Stack Engineering (MERN Stack),css;html;javascript;node.js;react
Product Management Trainee,deep learning;machine learning;nlp;python;tensorflow
News Anchoring,
Social Media Strategy & Research,digital marketing;social media marketing
Operations & Project Management,
Story Board Art,
Academic Writing in English,
Subject Matter Expert (SME)- Mechanical Engineering,
Subject Matter Expert (SME) - Accounting,accounting;excel;financial analysis
"Sales, Marketing & Operation",digital marketing;excel;social media marketing
Content Development (Physics),git
Full Stack Mern Development,css;git;html;javascript;node.js;react
Business Development (Sales) Sales for AI Product,deep learning;git;machine learning;nlp;python;tensorflow
Social Media- Research And Marketing,digital marketing;excel;social media marketing
Graphic Design & 3D Design,figma;graphic design;ui/ux design
Digital Marketing Analysis (PPC),digital marketing;excel;social media marketing
Human Resources (HR) - Talent Acquisition,
Social Media Outreach,digital marketing;social media marketing
Marketing And Research,digital marketing;excel;social media marketing
"Subject Matter Expert (Accounts, Mechanical Engineering)",
Business Development (Digital Marketing),digital marketing;excel;git;social media marketing
Inside Travel Sales,
Pre-Primary Teaching,
Digital Marketing & Social Media Marketing,digital marketing;excel;social media marketing
Video Editing (Shorts & Long),
UI Development,git
Business Development Management (Sales),git
Standup Comedy Club Event Management,
Investment Analyst,financial analysis
Content Writing (Medical/Science/Pharma/Biology),
Embroidery,
Personal Assistance - Female (to Director),
Video Making (Educational Reels/Youtube),
Trainee - Equity Trading,deep learning;machine learning;nlp;python;tensorflow
Social Media Growth,digital marketing;social media marketing
LinkedIn Technical Writing,
Pinterest Management,
Subject Matter Expert (SME) - Video Solution,
LinkedIn Content Strategy (B2B),
Messaging,
Relationship Management,
YouTube News Anchoring,
Technical Recruitment,
Python Data Engineering (For 2024 Graduates Only),pandas;python
Direction Assistance,
Content Writing & Digital Marketing,digital marketing;excel;social media marketing
WordPress Developer,git
Medicine & Pharmacy,
R&D - Power Electronics And Drives,
Web App Development,css;git;html
Product Design - Electronics Engineering,figma;graphic design;ui/ux design
Embedded Systems - Firmware Development,c++;git
R&D - Robotics - Autonomous Navigation,
Business Analytics & Optimization,
Full Stack Web Development,css;git;html;javascript;node.js;react
Student Education Counseling,
Business Research (Critical Minerals),
Canva Design,figma;graphic design;ui/ux design
Human Resources (HR) (Work From Office),
Accounts & Legal,
Chemical & Mechanical Engineering,
Chemistry & Biotechnology,
Architectural Design,figma;graphic design;ui/ux design
Global Western Bridal Fashion Market Research & Analysis,
Graphic Design And Photo Editing,figma;graphic design;ui/ux design
"Full Stack Developement (Javascript, Google App Script, Node.js, HTML/CSS)",css;html;java;javascript;machine learning;node.js;react
Teaching (CUET Domains)All Sections & Domains,deep learning;machine learning;nlp;python;tensorflow
Guest Experience Management,
Lead Generation & Client Coordination,
Subject Matter Expert - Chemistry,
"Video Editing For An E-commerce Brand (Facebook, IG & TikTok)",
Business Sales,
Mind-Body Wellness Research & Innovation,
YouTube Management & Video Editing,
Human Resources,
Graphic Design With AI,deep learning;figma;graphic design;machine learning;nlp;python;tensorflow;ui/ux design
Digital Marketing With AI,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Content Writing With AI,deep learning;machine learning;nlp;python;tensorflow
Scientific Content Writing (Bioinformatics),
Three.JS Website Development,css;git;html
Accounts & Taxation,
Brand Management & Social Media Management,digital marketing;social media marketing
Subject Matter Expert (SME) - Finance,accounting;excel;financial analysis
Subject Matter Expert (SME) - Computer Science,
Social Media Video Making,digital marketing;social media marketing
Customer Relationship Management (CRM),
Fortnite UEFN Development,git
Private Equity & Venture Capital,
Quality Analyst,
Customer Relationship Management/Client Servicing,
Full Stack NEXT Development,css;git;html;javascript;node.js;react
Content Writing (Medical),
Sketch Art/Digital Art Deisgn,
Executive Assistance,
Web Design (AI),css;deep learning;figma;git;graphic design;html;machine learning;nlp;python;tensorflow;ui/ux design
Video Editing (Instagram/YouTube),
Business Consulting (MSME),
O&M (Solar Engineering),
Embedded Firmware Development,c++;git
Execution Assistance,
NEXT.js AI Development,deep learning;git;machine learning;nlp;python;tensorflow
Financial/Credit Analyst,accounting;financial analysis
UI UX Design/Graphic Design,figma;graphic design;ui/ux design
Flutter Developement,
Node JS Developement,javascript;node.js
HR/Talent Acquisition/Recruitment/Hiring,
Digital Marketing And Business Development,digital marketing;excel;git;social media marketing
Unreal Game Development,c++;git
Unity Game Developing,
Embedded Engineering,c++
Mechanical Engineering (Subject Matter Expert),
Electrical Engineering (Subject Matter Expert),
Digital Marketing For US Based Nonprofit Organization,digital marketing;excel;social media marketing
Student - Business Development,git
Subject Matter Expert (SME) - Statistics & Probability,
AppSmith Development,git
Fashion Consultation,
Data Entry/Office Assistant,
Production,
IT Assistant,
Cricket Commentator (Twitter),
Financial Planning & Operations,accounting;financial analysis
Video Editing & Graphic Design,figma;graphic design;ui/ux design
HR (Recruitment),
Mobile App Development (Android),git;java
Sales Development Representative (SDR),git
Data ETL And UI Creation,
Executive Assistance/Project Management,
Quality Control And Documentation,
Student Engagement,
Sales And Email Marketing,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Artificial Intelligence & Machine Learning,deep learning;machine learning;nlp;python;tensorflow
Executive To The CPTO,
Aerospace Design (Sourcing & Development),figma;git;graphic design;ui/ux design
Animation (Educational Videos),
Content Strategy & Growth Hacking,
Email Marketing And Market Research,deep learning;digital marketing;excel;machine learning;nlp;python;social media marketing;tensorflow
Social Media & Public Relations (PR),digital marketing;social media marketing
Non-Medical Assistance For Elderly,
HR Trainee/HR Executive,deep learning;machine learning;nlp;python;tensorflow
"Business Development, Sales & Marketing",digital marketing;excel;git;social media marketing
7-Day Virtual Charity Drive,
Accounts Trainee,deep learning;machine learning;nlp;python;tensorflow
Video Editing (3D Graphic Motion),
Instagram Management,
Digital Marketing - Instagram Influencer Marketing,digital marketing;excel;social media marketing
Legal Research/Legal Article Writing,
Podcast Hosting & Video Content Creation,
News Anchoring/Eco-Reporing,
Sales Specialist,
Product Marketing (Sales/Marketing) – Males Only,digital marketing;excel;social media marketing
Research and Presentation (History),
Customer Service (Outbond Calls),
Customer Service (Inbound Calls),
OpenAI TypeScript SDK Development,deep learning;git;machine learning;nlp;python;tensorflow
Tech Journalism,
Social Media Marketing & Research,digital marketing;excel;social media marketing
Office Assistance,
Next.js Development,git
Digital Marketing/SEO,digital marketing;excel;seo;social media marketing
3D Visual Architecture,
Photo Editing,
Helpdesk Operations,
Python/Django & React Engineering,javascript;pandas;python;react
Clients Relationship,
Product Testing,
Field Sales Trainee,deep learning;machine learning;nlp;python;tensorflow
